idx,current_agent_name,best_agent_name,date,learning_rate,batch_size,round_num,play_num,train_epoch,train_buffer_size,PNN_loss,VNN_loss,train_loss,val_PNN_loss,val_VNN_loss,val_loss,win_num,lose_num,draw_num
1,0_0_80_7_20_11_15,0_0_80_7_20_11_15,7_20_11_17,0.001,32,2,80,1,5037,3.55765962600708,0.8285556435585022,5.411425590515137,4.403160572052002,1.0140507221221924,6.442366123199463,6,10,0
2,1_0_160_7_20_11_17,0_0_80_7_20_11_15,7_20_11_24,0.001,32,2,80,1,10366,2.589287519454956,0.7699275016784668,4.384186744689941,2.595213890075684,0.8988696932792664,4.5188069343566895,13,3,0
3,2_160_240_7_20_11_24,2_160_240_7_20_11_24,7_20_11_32,0.001,32,2,80,1,14950,2.3928279876708984,0.7946950793266296,4.211990833282471,2.3877201080322266,0.8702871203422546,4.282184600830078,2,14,0
4,3_160_320_7_20_11_32,2_160_240_7_20_11_24,7_20_11_40,0.001,32,2,80,1,19713,2.190416097640991,0.8392923474311829,4.053549289703369,2.274341821670532,0.978663980960846,4.276500701904297,4,12,0
5,4_160_400_7_20_11_40,2_160_240_7_20_11_24,7_20_11_53,0.001,32,2,80,1,24667,2.05953311920166,0.850776731967926,3.933434247970581,2.207719087600708,0.9630966186523438,4.193539619445801,4,12,0
6,5_160_480_7_20_11_53,2_160_240_7_20_11_24,7_20_12_10,0.001,32,2,80,1,29595,2.107965469360352,0.8525736927986145,3.982879877090454,2.12037205696106,1.0203680992126465,4.162680625915527,6,10,0
7,6_160_560_7_20_12_10,2_160_240_7_20_11_24,7_20_12_18,0.001,32,2,80,1,34493,1.9581044912338257,0.8548313975334167,3.834468126296997,2.098862171173096,0.9993532299995422,4.11933183670044,2,14,0
8,7_160_640_7_20_12_18,2_160_240_7_20_11_24,7_20_12_30,0.001,32,2,80,1,39413,1.912055850028992,0.854996919631958,3.7877373695373535,2.083280563354492,0.9879908561706544,4.091507911682129,9,7,0
9,8_640_720_7_20_12_30,8_640_720_7_20_12_30,7_20_12_47,0.001,32,2,80,1,44035,1.893613576889038,0.8322967290878296,3.7457151412963854,1.9953432083129885,1.049651026725769,4.064357280731201,6,10,0
10,9_640_800_7_20_12_47,8_640_720_7_20_12_30,7_20_12_54,0.001,32,2,80,1,48613,1.7895981073379517,0.8349084854125977,3.643418312072754,1.9950543642044067,1.0322227478027344,4.045718669891357,8,8,0
11,10_640_880_7_20_12_54,8_640_720_7_20_12_30,7_20_13_7,0.001,32,4,80,1,52979,1.8297885656356807,0.8256217241287231,3.673399209976196,1.9315558671951287,1.002079725265503,3.951157569885254,9,7,0
12,11_880_960_7_20_13_7,11_880_960_7_20_13_7,7_20_13_21,0.001,32,4,80,1,57299,1.755578875541687,0.8462570309638977,3.6188714504241934,1.8778334856033323,0.9805153608322144,3.874884605407715,8,8,0
13,12_880_1040_7_20_13_21,11_880_960_7_20_13_7,7_20_13_33,0.001,32,4,80,1,61568,1.6991125345230105,0.8160117864608765,3.531155586242676,1.8875025510787964,0.9996848106384276,3.902700424194336,6,10,0
14,13_880_1120_7_20_13_33,11_880_960_7_20_13_7,7_20_13_49,0.001,32,4,80,1,66145,1.7573301792144775,0.8179449439048767,3.590292930603028,1.9308067560195925,0.9716159701347352,3.916924953460693,6,10,0
15,14_880_1200_7_20_13_49,11_880_960_7_20_13_7,7_20_14_9,0.001,32,4,80,1,70587,1.7035545110702517,0.8056917190551758,3.523231506347656,1.880858302116394,1.0208455324172974,3.9151668548583984,10,6,0
16,15_1200_1280_7_20_14_9,15_1200_1280_7_20_14_9,7_20_14_21,0.001,32,4,80,1,75067,1.7232627868652344,0.8153595924377441,3.5515639781951904,1.8629117012023928,1.0201163291931152,3.895442485809326,9,7,0
17,16_1280_1360_7_20_14_21,16_1280_1360_7_20_14_21,7_20_14_36,0.001,32,4,80,1,79254,1.7186546325683594,0.8170990347862244,3.547630786895752,1.868384599685669,0.9726147055625916,3.8523378372192383,8,8,0
18,17_1280_1440_7_20_14_36,16_1280_1360_7_20_14_21,7_20_14_56,0.001,32,4,80,1,83612,1.7589409351348877,0.8193820118904114,3.589131116867065,1.8498306274414065,0.9766370058059692,3.8367438316345215,4,12,0
19,18_1280_1520_7_20_14_56,16_1280_1360_7_20_14_21,7_20_15_7,0.001,32,4,80,1,87926,1.75778329372406,0.8258530497550964,3.593390226364136,1.8408265113830569,0.9859558939933776,3.8360071182250977,5,11,0
20,19_1280_1600_7_20_15_7,16_1280_1360_7_20_14_21,7_20_15_22,0.001,32,4,80,1,92200,1.6816856861114502,0.7977729439735413,3.4881346225738525,1.8090484142303467,0.9560465216636658,3.773212432861328,7,9,0
